EMAPA:0 ! Anatomical structure
EMAPA:16032 ! first polar body
EMAPA:16033 ! 1-cell stage embryo
EMAPA:16034 ! second polar body
EMAPA:16035 ! zona pellucida
EMAPA:16036 ! 2-cell stage embryo
EMAPA:16037 ! 4-8 cell stage embryo
EMAPA:16039 ! embryo
EMAPA:16040 ! compacted morula
EMAPA:16041 ! inner cell mass
EMAPA:16042 ! extraembryonic component
EMAPA:16043 ! extraembryonic cavity
EMAPA:16044 ! blastocoelic cavity
EMAPA:16046 ! trophectoderm
EMAPA:16047 ! mural trophectoderm
EMAPA:16048 ! polar trophectoderm
EMAPA:16050 ! epiblast
EMAPA:16051 ! primitive endoderm
EMAPA:16052 ! extraembryonic endoderm
EMAPA:16053 ! parietal endoderm
EMAPA:16054 ! extraembryonic component cavity
EMAPA:16055 ! yolk sac cavity
EMAPA:16056 ! intermediate endoderm
EMAPA:16057 ! Reichert's membrane
EMAPA:16058 ! extraembryonic visceral endoderm
EMAPA:16059 ! ectoplacental cone
EMAPA:16060 ! body cavity or lining
EMAPA:16061 ! proamniotic cavity embryonic part
EMAPA:16062 ! embryo endoderm
EMAPA:16064 ! proamniotic cavity extraembryonic part
EMAPA:16065 ! extraembryonic ectoderm
EMAPA:16066 ! primary trophoblast giant cell
EMAPA:16067 ! cytotrophoblast
EMAPA:16068 ! syncytiotrophoblast
EMAPA:16069 ! embryo ectoderm
EMAPA:16070 ! definitive endoderm
EMAPA:16071 ! embryo mesoderm
EMAPA:16072 ! primitive streak
EMAPA:16073 ! neural ectoderm
EMAPA:16074 ! non-neural ectoderm
EMAPA:16075 ! node
EMAPA:16076 ! amniotic fold
EMAPA:16077 ! amniotic fold ectoderm
EMAPA:16078 ! amniotic fold mesoderm
EMAPA:16079 ! amniotic cavity
EMAPA:16080 ! ectoplacental cavity
EMAPA:16081 ! exocoelomic cavity
EMAPA:16082 ! cavity within amniotic fold
EMAPA:16085 ! yolk sac
EMAPA:16086 ! yolk sac endoderm
EMAPA:16087 ! yolk sac mesoderm
EMAPA:16088 ! intraembryonic coelom
EMAPA:16089 ! future brain
EMAPA:16090 ! future brain neural fold
EMAPA:16091 ! future brain neural crest
EMAPA:16092 ! future spinal cord
EMAPA:16095 ! future spinal cord neural plate
EMAPA:16096 ! surface ectoderm
EMAPA:16097 ! mesenchyme
EMAPA:16098 ! head mesenchyme
EMAPA:16099 ! mesenchyme derived from head mesoderm
EMAPA:16101 ! notochordal plate
EMAPA:16102 ! notochordal process
EMAPA:16103 ! organ system
EMAPA:16104 ! cardiovascular system
EMAPA:16105 ! heart
EMAPA:16106 ! cardiogenic plate
EMAPA:16107 ! allantois
EMAPA:16108 ! allantois mesoderm
EMAPA:16109 ! amnion
EMAPA:16110 ! amnion ectoderm
EMAPA:16111 ! amnion mesoderm
EMAPA:16112 ! chorion
EMAPA:16113 ! chorion ectoderm
EMAPA:16114 ! chorion mesoderm
EMAPA:16115 ! blood island
EMAPA:16116 ! primordial germ cell of yolk sac
EMAPA:16117 ! branchial arch
EMAPA:16118 ! 1st branchial arch
EMAPA:16119 ! 1st branchial groove
EMAPA:16120 ! 1st branchial groove ectoderm
EMAPA:16121 ! 1st branchial membrane
EMAPA:16122 ! 1st branchial membrane ectoderm
EMAPA:16123 ! 1st branchial membrane endoderm
EMAPA:16124 ! 1st branchial pouch
EMAPA:16125 ! 1st branchial pouch endoderm
EMAPA:16126 ! 1st branchial arch ectoderm
EMAPA:16127 ! 1st branchial arch endoderm
EMAPA:16128 ! 1st branchial arch mesenchyme
EMAPA:16129 ! 1st branchial arch mesenchyme derived from neural crest
EMAPA:16130 ! 1st branchial arch mesenchyme derived from head mesoderm
EMAPA:16131 ! pericardial component
EMAPA:16132 ! pericardial cavity
EMAPA:16133 ! pericardium
EMAPA:16134 ! pericardio-peritoneal component
EMAPA:16135 ! pericardio-peritoneal component cavity
EMAPA:16136 ! pericardio-peritoneal component mesothelium
EMAPA:16137 ! peritoneal component
EMAPA:16138 ! peritoneal cavity
EMAPA:16139 ! peritoneum
EMAPA:16140 ! future midbrain
EMAPA:16141 ! future midbrain floor plate
EMAPA:16142 ! future midbrain neural fold
EMAPA:16143 ! future midbrain neural crest
EMAPA:16144 ! future prosencephalon
EMAPA:16145 ! future prosencephalon floor plate
EMAPA:16146 ! future prosencephalon neural fold
EMAPA:16147 ! future prosencephalon neural crest
EMAPA:16148 ! future hindbrain
EMAPA:16149 ! anterior pro-rhombomere
EMAPA:16150 ! anterior pro-rhombomere floor plate
EMAPA:16151 ! anterior pro-rhombomere neural fold
EMAPA:16152 ! anterior pro-rhombomere neural crest
EMAPA:16153 ! future hindbrain neural ectoderm
EMAPA:16154 ! future hindbrain floor plate
EMAPA:16155 ! future hindbrain neural fold
EMAPA:16156 ! future hindbrain neural crest
EMAPA:16157 ! posterior pro-rhombomere
EMAPA:16158 ! posterior pro-rhombomere floor plate
EMAPA:16159 ! posterior pro-rhombomere neural fold
EMAPA:16160 ! posterior pro-rhombomere neural crest
EMAPA:16161 ! pre-otic sulcus
EMAPA:16162 ! future spinal cord neural fold
EMAPA:16163 ! future spinal cord neural crest
EMAPA:16164 ! neural tube
EMAPA:16165 ! neural tube floor plate
EMAPA:16166 ! neural tube lateral wall
EMAPA:16167 ! neural lumen
EMAPA:16168 ! neural tube roof plate
EMAPA:16169 ! head mesenchyme derived from neural crest
EMAPA:16170 ! trigeminal neural crest
EMAPA:16171 ! head paraxial mesenchyme
EMAPA:16172 ! head somite
EMAPA:16173 ! somite 01
EMAPA:16174 ! somite 02
EMAPA:16175 ! somite 03
EMAPA:16176 ! somite 04
EMAPA:16177 ! trunk mesenchyme
EMAPA:16178 ! intermediate mesenchyme
EMAPA:16179 ! lateral plate mesoderm
EMAPA:16180 ! somatopleure
EMAPA:16181 ! splanchnopleure
EMAPA:16182 ! trunk mesenchyme derived from neural crest
EMAPA:16183 ! trunk paraxial mesenchyme
EMAPA:16184 ! trunk somite
EMAPA:16185 ! somite 05
EMAPA:16186 ! somite 06
EMAPA:16187 ! somite 07
EMAPA:16188 ! somite 08
EMAPA:16189 ! trunk unsegmented mesenchyme
EMAPA:16190 ! primordial germ cell of trunk mesenchyme
EMAPA:16191 ! notochord
EMAPA:16192 ! sensory organ system
EMAPA:16193 ! ear
EMAPA:16194 ! inner ear
EMAPA:16195 ! otic placode
EMAPA:16196 ! otic placode mesenchyme
EMAPA:16197 ! otic placode epithelium
EMAPA:16198 ! eye
EMAPA:16199 ! optic sulcus
EMAPA:16200 ! optic sulcus neural ectoderm
EMAPA:16201 ! arterial system
EMAPA:16204 ! dorsal aorta
EMAPA:16205 ! left dorsal aorta
EMAPA:16206 ! right dorsal aorta
EMAPA:16207 ! vitelline artery
EMAPA:16209 ! primitive heart tube cardiac jelly
EMAPA:16210 ! primitive heart tube endocardial tube
EMAPA:16211 ! primitive heart tube cardiac muscle
EMAPA:16212 ! heart mesentery
EMAPA:16213 ! dorsal mesocardium
EMAPA:16214 ! transverse pericardial sinus
EMAPA:16215 ! primitive heart tube
EMAPA:16237 ! sinus venosus
EMAPA:16238 ! sinus venosus left horn
EMAPA:16239 ! sinus venosus right horn
EMAPA:16240 ! venous system
EMAPA:16241 ! anterior cardinal vein
EMAPA:16242 ! primary head vein
EMAPA:16243 ! umbilical vein embryonic part
EMAPA:16244 ! vitelline vein embryonic part
EMAPA:16245 ! visceral organ system
EMAPA:16246 ! alimentary system
EMAPA:16247 ! gut
EMAPA:16248 ! foregut diverticulum
EMAPA:16249 ! foregut diverticulum mesenchyme
EMAPA:16250 ! foregut diverticulum endoderm
EMAPA:16251 ! hindgut diverticulum
EMAPA:16252 ! hindgut diverticulum mesenchyme
EMAPA:16253 ! hindgut diverticulum endoderm
EMAPA:16254 ! primordial germ cell of hindgut
EMAPA:16255 ! midgut
EMAPA:16256 ! midgut mesenchyme
EMAPA:16257 ! midgut endoderm
EMAPA:16258 ! mouth-foregut junction
EMAPA:16259 ! buccopharyngeal membrane
EMAPA:16260 ! buccopharyngeal membrane ectoderm
EMAPA:16261 ! buccopharyngeal membrane endoderm
EMAPA:16262 ! oral region
EMAPA:16263 ! stomatodeum
EMAPA:16264 ! allantois mesenchyme
EMAPA:16265 ! amnion mesenchyme
EMAPA:16266 ! chorion mesenchyme
EMAPA:16267 ! yolk sac mesenchyme
EMAPA:16272 ! 2nd branchial arch
EMAPA:16273 ! 2nd branchial membrane
EMAPA:16274 ! 2nd branchial membrane endoderm
EMAPA:16275 ! 2nd branchial pouch
EMAPA:16276 ! 2nd branchial pouch endoderm
EMAPA:16277 ! 2nd branchial arch ectoderm
EMAPA:16278 ! 2nd branchial arch endoderm
EMAPA:16279 ! 2nd branchial arch mesenchyme
EMAPA:16280 ! 2nd branchial arch mesenchyme derived from head mesoderm
EMAPA:16281 ! 2nd branchial arch mesenchyme derived from neural crest
EMAPA:16282 ! pericardio-peritoneal canal
EMAPA:16283 ! pericardio-peritoneal canal cavity
EMAPA:16284 ! pericardio-peritoneal canal mesothelium
EMAPA:16285 ! future midbrain roof plate
EMAPA:16286 ! future hindbrain posterior to rhombomere 5
EMAPA:16287 ! future hindbrain posterior to rhombomere 5 floor plate
